company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
TheCollegeFever,brand marketing event promotion marketing sponsorship ticketing,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,2017,Unknown,Undisclosed,technology
Happy Cow Dairy,agriculture farming,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,2017,Unknown,Undisclosed,technology
MyLoanCare,credit financial services lending marketplace,Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,2018,2017,Unknown,Undisclosed,technology
PayMe India,financial services fintech,Pre-Seed,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,2017,Unknown,Undisclosed,technology
Eunimart,ecommerce platforms retail saas,Seed,0.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,2017,Unknown,Undisclosed,technology
Hasura,software as a service,Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,2017,Unknown,Undisclosed,technology
Tripshelf,internet leisure marketplace,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,2017,Unknown,Undisclosed,technology
Hyperdata.IO,market research,Pre-Seed,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,2017,Unknown,Undisclosed,technology
Freightwalla,information services information technology,Seed,0.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,2017,Unknown,Undisclosed,technology
Microchip Payments,mobile payments,Seed,0.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,2017,Unknown,Undisclosed,technology
BizCrum Infotech Pvt. Ltd.,b2b shoes,Seed,0.0,Delhi,Building Transactionary B2B Marketplaces,2018,2017,Unknown,Undisclosed,business services
Emojifi,internet,Seed,0.0,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,2017,Unknown,Undisclosed,technology
Flock,apps collaboration developer platform enterprise software messaging productivity tools video chat,Seed,0.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,2017,Unknown,Undisclosed,technology
Freshboxx,food delivery,Seed,0.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,2017,Unknown,Undisclosed,food and beverages
Wide Mobility Mechatronics,industrial automation,Seed,0.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,2017,Unknown,Undisclosed,technology
Pitstop,automotive search engine service industry,Seed,1460000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,2017,Unknown,Undisclosed,technology
Mihuru,finance internet travel,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,2017,Unknown,Undisclosed,technology
Fyle,accounting business information systems business travel finance saas,Seed,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018,2017,Unknown,Undisclosed,technology
AppWharf,artificial intelligence product search saas service industry software,Seed,0.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,2017,Unknown,Undisclosed,technology
Antariksh Waste Ventures Pvt ltd,internet of things waste management,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018,2017,Unknown,Undisclosed,technology
Cogoport,air transportation freight service logistics marine transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,2017,Unknown,Undisclosed,technology
PaisaDukan,financial services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018,2017,Unknown,Undisclosed,fintech
Sleepy Owl Coffee,food and beverage,Seed,511000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,2017,Unknown,Undisclosed,food and beverages
BlueJack,autonomous vehicles,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace.,2018,2017,Unknown,Undisclosed,mobility and transportation
PregBuddy,enterprise software health care hospital parenting personal health saas,Seed,0.0,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,2018,2017,Unknown,Undisclosed,technology
AgNext Technologies,agriculture analytics big data farming,Series A,0.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,2017,Unknown,Undisclosed,technology
Pando,logistics supply chain management,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,2017,Unknown,Undisclosed,technology
Mintifi,financial services lending,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,2017,Unknown,Undisclosed,fintech
Carcrew,automotive marketplace online portals,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,2017,Unknown,Undisclosed,technology
NicheAI,artificial intelligence,Pre-Seed,0.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,2017,Unknown,Undisclosed,technology
Chariot Tech,internet of things telecommunications,Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,2017,Unknown,Undisclosed,technology
Ideal Insurance Brokers/ 121Policy.com,insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,2017,Unknown,Undisclosed,financial services
Loanzen,financial services,Seed,0.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,2017,Unknown,Undisclosed,fintech
Mojro Technologies,information technology logistics supply chain management,Seed,650000.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,2017,Unknown,Undisclosed,technology
Elemential,blockchain developer tools enterprise software,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,2017,Unknown,Undisclosed,technology
Loadshare,industrial automation logistics supply chain management,Series A,5000000.0,Bangalore,LoadShare is India’s fastest growing logistics company,2018,2017,Unknown,Undisclosed,technology
Yumlane,food and beverage food delivery snack food,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,2017,Unknown,Undisclosed,food and beverages
Kriger Campus,education,Seed,438000.0,New Delhi,A Education Start Up.,2018,2017,Unknown,Undisclosed,education and training
Pipa+Bella,ecommerce fashion jewelry retail,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,2017,Unknown,Undisclosed,technology
Kaleidofin,financial services,Seed,2800000.0,Chennai,A fintech platform.,2018,2017,Unknown,Undisclosed,fintech
Chakr Innovation,renewable energy,Seed,0.0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,2017,Unknown,Undisclosed,renewable energy
IndigoLearn,elearning education,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,2017,Unknown,Undisclosed,technology
UClean,clean energy cleantech laundry and drycleaning,Seed,584000.0,India,UClean is a tech enabled laundry service provider.,2018,2017,Unknown,Undisclosed,technology
Coutloot,ecommerce fashion mobile,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018,2017,Unknown,Undisclosed,technology
Letstrack,apps messaging navigation public safety,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,2017,Unknown,Undisclosed,technology and innovation
Pooltoo,transportation,Seed,0.0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,2017,Unknown,Undisclosed,mobility and transportation
Finzy,financial services lending,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,2017,Unknown,Undisclosed,fintech
Fitternity,fitness health care wellness,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,2017,Unknown,Undisclosed,technology
Keito,artificial intelligence machine learning saas virtual assistant,Seed,0.0,Pune,Building an Intelligent Digital Assistant.,2018,2017,Unknown,Undisclosed,technology
Tolet for Students,hospitality,Seed,73000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,2017,Unknown,Undisclosed,technology
Chai Kings,food and beverage tea,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018,2017,Unknown,Undisclosed,food and beverages
Dainik Jagran,media and entertainment news outdoors,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,2017,Unknown,Undisclosed,technology
Playtoome,broadcasting media and entertainment music music streaming video video streaming,Seed,292000.0,Bangalore,Playtoome is a live entertainment destination,2018,2017,Unknown,Undisclosed,technology
ONGO Framework,b2b information services information technology,Pre-Seed,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,2017,Unknown,Undisclosed,technology
Notesgen,edtech education enterprise software peer to peer,Seed,182500.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,2017,Unknown,Undisclosed,technology
Arogya MedTech,health care medical,Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,2017,Unknown,Undisclosed,technology
Propshop24,e-commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,2017,Unknown,Undisclosed,e-commerce
myUpchar,health care hospital wellness,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,2017,Unknown,Undisclosed,technology
MissMalini Entertainment,Other,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,2017,Unknown,Undisclosed,Other
Rooter,sports,Seed,657000.0,India,Rooter is a mobile-based platform,2018,2017,Unknown,Undisclosed,sports technology
ZestMoney,big data consumer lending fintech,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,2017,Unknown,Undisclosed,technology
alphaics Corporation,cloud computing computer semiconductor,Seed,0.0,Bangalore,Advancing AI compute,2018,2017,Unknown,Undisclosed,technology
MyDentistChoice,health care medical pharmaceutical,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,2017,Unknown,Undisclosed,technology
Sattviko,food processing retail,Pre-Seed,0.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,2017,Unknown,Undisclosed,technology
Sensibull,trading platform,Seed,365000.0,Bangalore,Investment Management Platform,2018,2017,Unknown,Undisclosed,financial services
Bombay Shaving Company,consumer goods lifestyle mens,Series A,0.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,2017,Unknown,Undisclosed,consumer goods and services
MedCords,health & wellness,Seed,385440.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,2017,Unknown,Undisclosed,healthcare
University Living,education,Seed,0.0,New Delhi,University Living is an online global student housing marketplace.,2018,2017,Unknown,Undisclosed,education and training
&ME,food and beverage food processing nutrition,Seed,0.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,2017,Unknown,Undisclosed,technology
Enakshi,fashion,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,2017,Unknown,Undisclosed,design and creative industries
Ultraviolette Automotive,automotive electric vehicle energy storage,Series A,876.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,2017,Unknown,Undisclosed,mobility and transportation
Inthree Access,consulting retail social,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,2017,Unknown,Undisclosed,technology
BUGWORKS Research India,biotechnology life science pharmaceutical product research,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,2017,Unknown,Undisclosed,technology
Guardian.in,health & wellness,Seed,0.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,2017,Unknown,Undisclosed,healthcare
PrestLoans,credit financial services fintech personal finance,Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,2017,Unknown,Undisclosed,technology
Wimoxez,internet,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,2017,Unknown,Undisclosed,technology
India Accelerator,property,Pre-Seed,0.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,2017,Unknown,Undisclosed,real estate
HappyEMI,consumer financial services fintech,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,2017,Unknown,Undisclosed,technology
Wishup,consumer applications information services location based services virtual assistant,Seed,0.0,Azadpur,Premium Personal Assistance service,2018,2017,Unknown,Undisclosed,technology
Hansel.io,mobile mobile apps personalization test and measurement web apps,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,2017,Unknown,Undisclosed,technology
Propelld,education financial services fintech,Seed,250000.0,Bangalore,Propelld is a student education financing platform.,2018,2017,Unknown,Undisclosed,technology
PivotRoots,advertising consulting digital marketing,Series A,0.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,2017,Unknown,Undisclosed,technology
ZiffyHomes,marketplace real estate rental property,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,2017,Unknown,Undisclosed,technology
Carmesi,health & wellness,Seed,496400.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,2017,Unknown,Undisclosed,healthcare
OckyPocky,elearning internet video games,Pre-Seed,0.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,2017,Unknown,Undisclosed,technology
Racetrack,artificial intelligence cloud computing video,Seed,4993200.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,2017,Unknown,Undisclosed,technology
WHR,health care information technology,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,2017,Unknown,Undisclosed,technology
Asteria Aerospace,aerospace,Seed,0.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,2017,Unknown,Undisclosed,mobility and transportation
FabAlley,ecommerce fashion lifestyle,Series B,8760000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,2017,Unknown,Undisclosed,e-commerce
Tranzmeo,artificial intelligence business intelligence industrial automation machine learning,Pre-Seed,0.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,2017,Unknown,Undisclosed,technology
SBI Life,insurance,PE,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,2017,Unknown,Undisclosed,financial services
Studds Accessories,e-commerce,PE,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,2017,Unknown,Undisclosed,e-commerce
Design Cafe,home decor home improvement home renovation home services interior design smart home,Series B,29200000.0,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,2017,Unknown,Undisclosed,technology
NoPaperForms Solutions Pvt. Ltd.,edtech education information services saas,Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,2017,Unknown,Undisclosed,technology
Rays Power Infra,energy solar,Venture,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,2017,Unknown,Undisclosed,technology
AuthMetrik,b2b biometrics cyber security fraud detection saas security,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,2017,Unknown,Undisclosed,technology
Khidki,artificial intelligence social,Seed,0.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,2017,Unknown,Undisclosed,technology
LetsTransport,logistics transportation travel,Series B,14600000.0,Bangalore,Lets transport is a logistics solution provider.,2018,2017,Unknown,Undisclosed,mobility and transportation
Next Digital Solutions,digital marketing sem seo web development,Pre-Seed,1460.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,2017,Unknown,Undisclosed,technology
Portea Medical,health care hospital medical,Debt,3650000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,2017,Unknown,Undisclosed,technology
Aavas Financiers,finance financial services,Post-IPO,29200000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,2017,Unknown,Undisclosed,fintech
Swiggy,food delivery food processing internet,Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,2017,Unknown,Undisclosed,technology
Milkbasket,ecommerce food and beverage internet,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,2017,Unknown,Undisclosed,technology
Nutrisattva (Proliva),fitness food and beverage health care nutrition,Pre-Seed,0.0,Anand,Nutrisattva is a protein innovation compan,2018,2017,Unknown,Undisclosed,technology
Toppr,edtech education knowledge management,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,2017,Unknown,Undisclosed,technology
Jagaran Microfin,Other,Debt,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,2017,Unknown,Undisclosed,Other
Vivriti Capital,financial services,Venture,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,2017,Unknown,Undisclosed,fintech
Be U Salons,apps beauty consumer retail,Seed,438000.0,New Delhi,Be U is India's first subscription based Salon Chain.,2018,2017,Unknown,Undisclosed,technology
Impact Guru,creative agency crowdfunding edtech health care internet medical non profit personal health,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,2017,Unknown,Undisclosed,technology
MobiKwik,consumer lending financial services fintech insurance lending mobile payments payments wealth management,Series E,3504000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,2017,Unknown,Undisclosed,technology
Stones2Milestones,elearning education higher education,Seed,0.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,2017,Unknown,Undisclosed,technology
Generico,health care medical pharmaceutical,Series A,0.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,2017,Unknown,Undisclosed,technology
Adiuvo Diagnostics,health diagnostics,Seed,0.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,2017,Unknown,Undisclosed,healthcare
DataTrained,edtech education,Seed,1752000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,2017,Unknown,Undisclosed,technology
OneAssist,financial services saas security,Debt,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018,2017,Unknown,Undisclosed,technology
Satin Creditcare Network Limited (SCNL),banking finance financial services non profit,Post-IPO,30000000.0,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,2017,Unknown,Undisclosed,technology
APAC Financial Services,finance financial services,PE,36500000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,2017,Unknown,Undisclosed,fintech
Moglix,b2b ecommerce mobile,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,2017,Unknown,Undisclosed,technology
SEDEMAC Mechatronics,automotive electric vehicle renewable energy,Venture,0.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,2017,Unknown,Undisclosed,renewable energy
MadGuy Labs,education,Venture,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,2017,Unknown,Undisclosed,education and training
Dee Dee Labs,embedded systems health care medical product research,Seed,0.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,2017,Unknown,Undisclosed,technology
FLEECA,Other,Seed,0.0,Jaipur,FLEECA is a Tyre Care Provider company.,2018,2017,Unknown,Undisclosed,Other
Shop101,apps ecommerce internet,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,2017,Unknown,Undisclosed,technology
FeedMyPockets,advertising human resources marketing,Seed,642400.0,Bangalore,On Demand Staffing Platform,2018,2017,Unknown,Undisclosed,technology
Housejoy,beauty fitness home services internet,Series B,3240000.0,Bangalore,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,2017,Unknown,Undisclosed,technology
Ambee,health care medical device public safety,Pre-Seed,0.0,Bangalore,Ambee is an Environment analytics startup.,2018,2017,Unknown,Undisclosed,technology
FoodBuddy,food delivery online portals restaurants,Seed,876000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,2017,Unknown,Undisclosed,food and beverages
Ninjacart,agtech b2b supply chain management,Series B,36500000.0,Bangalore,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,2017,Unknown,Undisclosed,technology
Olly Smart Credit Card,credit cards finance mobile apps mobile payments payments,Seed,0.0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,2017,Unknown,Undisclosed,technology
Zestl,software,Seed,0.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,2017,Unknown,Undisclosed,technology
BYJU’S,edtech education higher education secondary education,PE,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,2017,Unknown,Undisclosed,technology
Wakefit,manufacturing retail,Venture,9490000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,2017,Unknown,Undisclosed,technology
Hero Electric,manufacturing,Venture,23360000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,2017,Unknown,Undisclosed,technology
Pentation Analytics,information services information technology insurtech,Seed,0.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,2017,Unknown,Undisclosed,technology
PerkFinance,consumer lending fintech,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,2017,Unknown,Undisclosed,technology
Roposo,internet social network tv,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,2017,Unknown,Undisclosed,technology
Plum Goodness,beauty health care,Series A,0.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,2017,Unknown,Undisclosed,technology
Drstore,hospital,Seed,0.0,Mumbai,Drstore is a exclusive e- commerce platform.,2018,2017,Unknown,Undisclosed,technology
Wow Venue,events,Venture,1500000.0,Mumbai,Wow Venue is an online platform.,2018,2017,Unknown,Undisclosed,events and entertainment
Chizel,3d printing manufacturing product design,Seed,0.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,2017,Unknown,Undisclosed,technology
OTO Capital,automotive,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,2017,Unknown,Undisclosed,mobility and transportation
Boodmo,automotive retail,Seed,1022000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,2017,Unknown,Undisclosed,technology
Khabri,apps audio,Seed,0.0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,2017,Unknown,Undisclosed,technology and innovation
MyNewCar.in,automotive ecommerce,Venture,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,2017,Unknown,Undisclosed,e-commerce
HalaPlay Technologies,digital entertainment fantasy sports sports,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018,2017,Unknown,Undisclosed,technology
PlanetSpark,elearning edtech education,Seed,233600.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,2017,Unknown,Undisclosed,technology
WheelsEMI,Other,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,2017,Unknown,Undisclosed,Other
Forum for Innovation Incubation Research and Entrepreneurship,funding platform incubators non profit,Grant,1496500.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,2017,Unknown,Undisclosed,technology
OYO,hospitality hotel leisure travel,Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,2017,Unknown,Undisclosed,technology
Quikr,classifieds internet marketplace rental property,Debt,8030000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,2017,Unknown,Undisclosed,technology
Tabono,sports,Seed,0.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,2017,Unknown,Undisclosed,sports technology
LearnApp,banking elearning trading platform,Seed,292000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,2017,Unknown,Undisclosed,technology
Shopkirana,ecommerce mobile retail,Venture,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,2017,Unknown,Undisclosed,technology
Fric Bergen,Other,Venture,0.0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,2017,Unknown,Undisclosed,Other
Articbot,artificial intelligence information technology,Grant,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,2017,Unknown,Undisclosed,technology
BuildSupply,enterprise resource planning erp information services information technology real estate,Series A,3650000.0,Gurgaon,India’s most advanced ERP system for the real estate,2018,2017,Unknown,Undisclosed,technology
Fusion Microfinance,banking finance financial services,Series E,75920000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,2017,Unknown,Undisclosed,fintech
Any time Doctor,software,Pre-Seed,0.0,Chennai,Anytime Doctor is a Software company.,2018,2017,Unknown,Undisclosed,technology
Go Payments,information services information technology,Other,0.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,2017,Unknown,Undisclosed,technology
Guiddoo World,audio mobile tourism travel,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018,2017,Unknown,Undisclosed,technology
ION Energy,energy energy storage infrastructure,Venture,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,2017,Unknown,Undisclosed,renewable energy
UnoTag,artificial intelligence,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,2017,Unknown,Undisclosed,technology
CivilCops,government information technology software,Pre-Seed,100000.0,Gurgaon,Gov-Tech,2018,2017,Unknown,Undisclosed,technology
Rockmetric,information technology,Grant,0.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,2017,Unknown,Undisclosed,technology
Classworks India,education information technology internet mobile software,Other,1460.0,Chennai,"Saas, Web App, Mobile App, School Education",2018,2017,Unknown,Undisclosed,technology
Snapmint,consumer lending financial services lending personal finance,Seed,0.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,2017,Unknown,Undisclosed,fintech
artbandhu,digital media internet media and entertainment online portals social media,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018,2017,Unknown,Undisclosed,technology
Survaider,business intelligence customer service market research saas,Seed,500000.0,Bangalore,Stethoscope for customer feedback !,2018,2017,Unknown,Undisclosed,technology
